"","season","HomeTeam","AwayTeam","HGGS","HGGC","AGGS","AGGC","FTHG","FTAG"
"1","2000-01","Arsenal","Aston Villa","1","0.5","0.5","1",1,0
"2","2001-02","Arsenal","Aston Villa","1","0.5","0.5","1",3,2
"3","2002-03","Arsenal","Aston Villa","2.75","1","1","4",3,1
"4","2003-04","Arsenal","Aston Villa","2.5","0.6667","1.5","0.3333",2,0
"5","2004-05","Arsenal","Aston Villa","1.75","0.5","0.5","1.3333",3,1
"6","2005-06","Arsenal","Aston Villa","1.75","1","1.75","0.6667",5,0
"7","2006-07","Arsenal","Aston Villa","1","0.75","0.5","2",1,1
"8","2007-08","Arsenal","Aston Villa","2.25","0.75","0.25","1.3333",1,1
"9","2008-09","Arsenal","Aston Villa","3.25","0.75","1","1.6667",0,2
"10","2009-10","Arsenal","Aston Villa","2.3333","1","1.75","1.3333",3,0
"11","2010-11","Arsenal","Aston Villa","1.75","2","0.3333","2",1,2
"12","2011-12","Arsenal","Aston Villa","3","0.25","1","2",3,0
"13","2012-13","Arsenal","Aston Villa","2","0.3333","1","1.6667",2,1
"14","2013-14","Arsenal","Aston Villa","1","1","2.75","3.5",1,3
"15","2014-15","Arsenal","Aston Villa","4.3333","1.6667","1.25","0.75",5,0
"16","2015-16","Arsenal","Aston Villa","2.25","0.5","1","5",4,0
"17","2019-20","Arsenal","Aston Villa","4.3333","0","0.5","2.6667",3,2
"18","2002-03","Arsenal","Birmingham","3.5","0.3333","1","4",2,0
"19","2003-04","Arsenal","Birmingham","2.75","0.6667","1.5","0.3333",0,0
"20","2004-05","Arsenal","Birmingham","1.75","0.75","0.5","1.3333",3,0
"21","2005-06","Arsenal","Birmingham","2.5","1","1.75","0.6667",1,0
"22","2007-08","Arsenal","Birmingham","4.3333","0","0.25","1.3333",1,1
"23","2009-10","Arsenal","Birmingham","3","0.6667","1.75","1.3333",3,1
"24","2010-11","Arsenal","Birmingham","0.75","0","0.3333","2",2,1
"25","2001-02","Arsenal","Blackburn","1","0.5","0.5","1",3,3
"26","2002-03","Arsenal","Blackburn","3","1","1","4",1,2
"27","2003-04","Arsenal","Blackburn","2","1.25","1.5","0.3333",1,0
"28","2004-05","Arsenal","Blackburn","2.75","1.3333","0.5","1.3333",3,0
"29","2005-06","Arsenal","Blackburn","1.5","1","1.75","0.6667",3,0
"30","2006-07","Arsenal","Blackburn","2.25","0.6667","0.5","2",6,2
"31","2007-08","Arsenal","Blackburn","2.75","0.75","0.25","1.3333",2,0
"32","2008-09","Arsenal","Blackburn","3.25","1.25","1","1.6667",4,0
"33","2009-10","Arsenal","Blackburn","3","0.25","1.75","1.3333",6,2
"34","2010-11","Arsenal","Blackburn","1.5","0.3333","0.3333","2",0,0
"35","2011-12","Arsenal","Blackburn","3","0.5","1","2",7,1
"36","2010-11","Arsenal","Blackpool","4","0","0.3333","2",6,0
"37","2001-02","Arsenal","Bolton","1","0.5","0.5","1",1,1
"38","2002-03","Arsenal","Bolton","3","1","1","4",2,1
"39","2003-04","Arsenal","Bolton","2.75","1.6667","1.5","0.3333",2,1
"40","2004-05","Arsenal","Bolton","1.6667","1.3333","0.5","1.3333",2,2
"41","2005-06","Arsenal","Bolton","1.5","1","1.75","0.6667",1,1
"42","2006-07","Arsenal","Bolton","4.75","0.6667","0.5","2",2,1
"43","2007-08","Arsenal","Bolton","2.5","0.75","0.25","1.3333",2,0
"44","2008-09","Arsenal","Bolton","1.75","1","1","1.6667",1,0
"45","2009-10","Arsenal","Bolton","2","0.25","1.75","1.3333",4,2
