"","season","HomeTeam","AwayTeam","HGGS","HGGC","AGGS","AGGC","HGH2H","AGH2H","HGS","HGAS","HGST","HGAST","AGS","AGAS","AGST","AGAST","FTHG","FTAG"
"8","2000-01","Arsenal","Aston Villa",2,0.579,1.079,1.079,1,0.25,10,5,4,2,5,10,2,4,1,0
"9","2001-02","Arsenal","Aston Villa",2.2894,0.7894,1.1052,1.2106,1,0.25,10,5,4,2,5,10,2,4,3,2
"10","2002-03","Arsenal","Aston Villa",2.2894,1,1.1316,1.3948,1,0.5,16.8422,6.3422,9.0264,3,12.0526,9.5264,5.7106,4.6052,3,1
"11","2003-04","Arsenal","Aston Villa",2.3422,1.1842,1.079,1.6578,1.5,0.75,16.2106,6.3158,8.6842,3.079,12.921,10.921,6.4736,5.2894,2,0
"12","2004-05","Arsenal","Aston Villa",2.2894,0.8948,1.079,1.5264,1.25,0.25,14.7106,6.8948,8.6052,3.421,13.1842,11.1578,6.9736,5.3422,3,1
"13","2005-06","Arsenal","Aston Villa",2.4736,0.8684,1.1316,1.579,1.25,0.25,13.579,6.5264,8.2632,3.1842,13.6316,10.2894,7.2632,5.1316,5,0
"14","2006-07","Arsenal","Aston Villa",2.6842,0.8422,1.079,1.8422,2,0.25,13.3948,6.3684,8.6842,3.2106,13.7894,9.2632,7.4736,4.8422,1,1
"15","2007-08","Arsenal","Aston Villa",2.3948,0.7632,1.1842,1.6316,1.5,0.25,14.5264,6.7106,8.8948,3.5,13.7106,9.1578,7.1578,5.0264,1,1
"16","2008-09","Arsenal","Aston Villa",2.1052,0.7106,1.579,1.4736,0.5,0.5,15.1578,7.2368,8.4474,3.8422,13.2368,10.0264,6.8948,5.8422,0,2
"17","2009-10","Arsenal","Aston Villa",1.7894,0.7106,1.6842,1.4736,0.25,0.75,15.2894,7.6578,8.579,4.1316,13.0264,9.5526,7.2632,5.6052,3,0
"18","2010-11","Arsenal","Aston Villa",2.079,0.8158,1.3158,1.3158,0.75,0.5,16.0526,7.079,9.5526,4.0526,14.1316,9.6578,8.079,5.5526,1,2
"19","2011-12","Arsenal","Aston Villa",2.1316,0.7894,1.1842,1.6578,1,0.5,16.421,6.7632,9.8158,3.8422,14.9736,10.7368,8.6052,6.1578,3,0
"20","2012-13","Arsenal","Aston Villa",1.8948,0.8422,1.0264,1.7894,1,0.5,16.7894,7.3158,9.7632,3.8948,15.4736,10.1052,8.5264,5.5526,2,1
"21","2013-14","Arsenal","Aston Villa",2.2632,1.0526,1.079,1.8158,1.25,0.25,16.4474,7.9474,9.6052,4.421,16.1578,9.3422,8.3684,5.1578,1,3
"22","2014-15","Arsenal","Aston Villa",2.1842,0.8948,1.079,1.921,0.75,1,15.5264,9.0526,7.7368,3.8684,15.5526,9.8158,6.579,4.2106,5,0
"23","2015-16","Arsenal","Aston Villa",2.0264,0.6578,0.7894,1.6842,1.5,0.75,16.9474,9.5,6.7106,3,14.1842,10.2368,4.7632,3.1842,4,0
"24","2019-20","Arsenal","Aston Villa",2.5264,0.9474,2,2,2.25,0,15.7632,10.579,6.3948,3.8158,2,2,2,2,3,2
"26","2002-03","Arsenal","Birmingham",2.2894,1,2,2,0.25,0.25,16.8422,6.3422,9.0264,3,2,2,2,2,2,0
"27","2003-04","Arsenal","Birmingham",2.3422,1.1842,0.8422,1.3684,1,1,16.2106,6.3158,8.6842,3.079,12.9474,8.1052,6.6842,3.579,0,0
"28","2004-05","Arsenal","Birmingham",2.2894,0.8948,0.8684,1.3158,0.5,0,14.7106,6.8948,8.6052,3.421,12.6578,7.8158,6.6842,3.6316,3,0
"29","2005-06","Arsenal","Birmingham",2.4736,0.8684,0.8684,1.4474,0.75,0,13.579,6.5264,8.2632,3.1842,11.8422,7.8948,6.4474,3.7368,1,0
"30","2007-08","Arsenal","Birmingham",2.3948,0.7632,0.4736,1.579,1,0,14.5264,6.7106,8.8948,3.5,12.9474,8.0526,6.9474,4.0526,1,1
"31","2009-10","Arsenal","Birmingham",1.7894,0.7106,0.8422,2.0526,0.5,0.25,15.2894,7.6578,8.579,4.1316,14.8422,7.1578,7.8948,3.8422,3,1
"32","2010-11","Arsenal","Birmingham",2.079,0.8158,1,1.7894,1,0.5,16.0526,7.079,9.5526,4.0526,15.8948,9.2632,9.579,5.8422,2,1
"39","2001-02","Arsenal","Blackburn",2.2894,0.7894,2,2,0.5,0.75,10,5,4,2,5,10,2,4,3,3
"40","2002-03","Arsenal","Blackburn",2.2894,1,1.1578,1.6316,1,0.75,16.8422,6.3422,9.0264,3,12.6842,9.579,5.8422,4.579,1,2
"41","2003-04","Arsenal","Blackburn",2.3422,1.1842,1.3158,1.5526,1,1.25,16.2106,6.3158,8.6842,3.079,13.1316,9.7106,6.7894,4.8948,1,0
"42","2004-05","Arsenal","Blackburn",2.2894,0.8948,1.421,1.4736,0.5,0.5,14.7106,6.8948,8.6052,3.421,13.2632,10.2106,7.6842,5.1578,3,0
"43","2005-06","Arsenal","Blackburn",2.4736,0.8684,0.9736,1.2894,1,0,13.579,6.5264,8.2632,3.1842,12.2106,10.2368,6.5,4.7894,3,0
